"NAME","CATEGORY","FORM","ID","DUMB","PACKING","TRADEPRICE","RETIALPRICE","MG","DID","BID"
"FAMORJINE","17.1.2","Tabs","1","0","10s","149.40","166.00","40mg","298","118"
"FAMORJINE","17.1.2","Tabs","2","1","20s","157.50","175.00","20mg","298","118"
"NEGABACT","6.2.2.2","Tabs","3","2","10s","207.00","230.00","200mg","530","120"
"KROJECT","6.2.2.2","Inf","4","3","5ml","95.62","112.50","400mg/5ml","957","119"
"NEO-ENDUSIX","2.1.3","Tabs","5","4","30s","327.23","363.59","20mg","1182","129"
"NAPHTEARS","25.4","Drops","6","5","15ml","108.00","120.00","0.012%v/v","940","13115"
"VIGAMOX","28","Eye Drops","7","6","5ml","361.25","425.00","0.5%w/v","1592","14169"
"TAZIDIME","6.2.1.3","Inj","8","7","Vial","116.62","129.58","250mg","144","5001"
"TAZIDIME","6.2.1.3","Inj","9","8","Vial","176.85","196.50","500mg","144","5001"
"TAZIDIME","6.2.1.3","Inj","10","9","Vial","330.00","366.66","1g","144","5001"
"VIVIOPTAL","27","Caps","11","10","30s","228.70","269.06","60mg ","59","243"
"VIVIOPTAL","27","Caps","12","10","30s","228.70","269.06","50mcg ","96","243"
"VIVIOPTAL","27","Caps","13","10","30s","228.70","269.06","400IU ","120","243"
"VIVIOPTAL","27","Caps","14","10","30s","228.70","269.06","3mcg ","203","243"
"VIVIOPTAL","27","Caps","15","10","30s","228.70","269.06","0.4mg ","323","243"
"VIVIOPTAL","27","Caps","16","10","30s","228.70","269.06","40mg ","433","243"
"VIVIOPTAL","27","Caps","17","10","30s","228.70","269.06","35mg ","1264","243"
"VIVIOPTAL","27","Caps","18","10","30s","228.70","269.06","0.5mg ","1276","243"
"VIVIOPTAL","27","Caps","19","10","30s","228.70","269.06","25mg ","1280","243"
"VIVIOPTAL","27","Caps","20","10","30s","228.70","269.06","60mg ","1290","243"
"VIVIOPTAL","27","Caps","21","10","30s","228.70","269.06","30mg ","1392","243"
"VIVIOPTAL","27","Caps","22","10","30s","228.70","269.06","0.1mg ","1405","243"
"VIVIOPTAL","27","Caps","23","10","30s","228.70","269.06","10mg ","1115","243"
"VIVIOPTAL","27","Caps","24","10","30s","228.70","269.06","0.5mg ","1292","243"
"VIVIOPTAL","27","Caps","25","10","30s","228.70","269.06","25mg ","511","243"
"VIVIOPTAL","27","Caps","26","10","30s","228.70","269.06","10mg ","1308","243"
"VIVIOPTAL","27","Caps","27","10","30s","228.70","269.06","80mg ","1295","243"
"VIVIOPTAL","27","Caps","28","10","30s","228.70","269.06","8mg ","591","243"
"VIVIOPTAL","27","Caps","29","10","30s","228.70","269.06","5000IU ","646","243"
"VIVIOPTAL","27","Caps","30","10","30s","228.70","269.06","3mg ","648","243"
"VIVIOPTAL","27","Caps","31","10","30s","228.70","269.06","50mg ","1356","243"
"VIVIOPTAL","27","Caps","32","10","30s","228.70","269.06","5mg ","710","243"
"VIVIOPTAL","27","Caps","33","10","30s","228.70","269.06","55mg ","613","243"
"VIVIOPTAL","27","Caps","34","10","30s","228.70","269.06","5mg ","637","243"
"VIVIOPTAL","27","Caps","35","10","30s","228.70","269.06","10mg ","723","243"
"VIVIOPTAL","27","Caps","36","10","30s","228.70","269.06","0.75mg ","1216","243"
"VIVIOPTAL","27","Caps","37","10","30s","228.70","269.06","0.5mg ","1104","243"
"VIVIOPTAL","27","Caps","38","10","30s","228.70","269.06","20mg","1284","243"
"SEVENSEAS MVM","27","Caps","39","11","30s","187.19","220.22","40mg ","59","6870"
"SEVENSEAS MVM","27","Caps","40","11","30s","187.19","220.22","0.5mcg ","96","6870"
"SEVENSEAS MVM","27","Caps","41","11","30s","187.19","220.22","2.5mcg ","117","6870"
"SEVENSEAS MVM","27","Caps","42","11","30s","187.19","220.22","2mcg ","203","6870"
"SEVENSEAS MVM","27","Caps","43","11","30s","187.19","220.22","12.5mcg ","323","6870"
"SEVENSEAS MVM","27","Caps","44","11","30s","187.19","220.22","12mg ","391","6870"
"SEVENSEAS MVM","27","Caps","45","11","30s","187.19","220.22","140mcg ","384","6870"
"SEVENSEAS MVM","27","Caps","46","11","30s","187.19","220.22","0.2mg ","1276","6870"
"SEVENSEAS MVM","27","Caps","47","11","30s","187.19","220.22","15mg ","1300","6870"
"SEVENSEAS MVM","27","Caps","48","11","30s","187.19","220.22","1mg ","1392","6870"
"SEVENSEAS MVM","27","Caps","49","11","30s","187.19","220.22","5mg ","1404","6870"
"SEVENSEAS MVM","27","Caps","50","11","30s","187.19","220.22","0.5mg ","2168","6870"
"SEVENSEAS MVM","27","Caps","51","11","30s","187.19","220.22","5mcg ","1292","6870"
"SEVENSEAS MVM","27","Caps","52","11","30s","187.19","220.22","20mg ","511","6870"
"SEVENSEAS MVM","27","Caps","53","11","30s","187.19","220.22","50mcg ","1295","6870"
"SEVENSEAS MVM","27","Caps","54","11","30s","187.19","220.22","30mg ","1304","6870"
"SEVENSEAS MVM","27","Caps","55","11","30s","187.19","220.22","0.5mg ","591","6870"
"SEVENSEAS MVM","27","Caps","56","11","30s","187.19","220.22","750mcg ","646","6870"
"SEVENSEAS MVM","27","Caps","57","11","30s","187.19","220.22","2mg ","648","6870"
"SEVENSEAS MVM","27","Caps","58","11","30s","187.19","220.22","5mg ","1356","6870"
"SEVENSEAS MVM","27","Caps","59","11","30s","187.19","220.22","2.3mg ","710","6870"
"SEVENSEAS MVM","27","Caps","60","11","30s","187.19","220.22","8mg ","637","6870"
"SEVENSEAS MVM","27","Caps","61","11","30s","187.19","220.22","20mg ","831","6870"
"SEVENSEAS MVM","27","Caps","62","11","30s","187.19","220.22","30IU ","723","6870"
